,overall_ranking,first_name,last_name,pos,team,b_t,future_value,body,fastball_proj,sweeper_proj,changeup_proj,cutter_proj,control_proj,hit_proj,power_proj,run_proj,field_proj,arm_proj
0,1,Roki,Sasaki,RHP,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: No single specific pitcher, but shades of a number of different front-line flamethrowers  Type: 6-foot-4 potential ace with three plus to plus-plus pitches  While Sasaki doesn't fit the traditional profile for a prospect on this list, he is eligible because he signed in the international signing period as an amateur international free agent rather than as a major league free agent and meets MLB rookie eligibility standards (fewer than 130 at-bats, 50 innings pitched or 45 days on the active roster).  Sasaki also fits with some of the top pitching prospects on the last few versions of this list in terms of potential and polish. At his best, he can sit in the upper-90s and get into the triple digits, mixing in one of the best splitters on Earth and a plus slider, along with solid strike throwing and a starter-looking delivery. On Sasaki's best day, some scouts say he has two 80-grade pitches.  Editor's Picks  Ranking all 30 MLB farm systems for 2025: Which team is the new No. 1? 40dKiley McDaniel  2025 top MLB prospect rankings: Future home run champs? Aces in the making? Don't sleep on Nos. 101-200 40dKiley McDaniel  Roki Sasaki is headed to L.A.! What the Japanese ace brings to the Dodgers 58dKiley McDaniel There are still a number of questions to answer and potential adjustments to make, though. Remember Paul Skenes learned his splinker, now his best pitch, after he was the top pick in the MLB draft. Likewise, Sasaki also needs to develop a bit more to become a major league ace.  Sasaki's velocity and fastball shape regressed a bit in 2024, as did his slider velocity; these both seem addressable with grip, intent and mechanical tweaks from a strong developmental organization. These issues, their cause and the solution were a big topic in presentations teams made and what Sasaki seemed most interested in.  His command (hitting specific spots) is just OK right now, but his level of control (simply throwing it over the plate) goes a long way, including in the best pro league other than MLB, because his stuff is so good. Sasaki could stand to add a cutter and/or a curveball to his arsenal to offer different looks. That's a long list of nitpicks, but don't get it twisted: Sasaki could be an ace by the end of this season if he makes quick adjustments.  play 0:17 Roki Sasaki puts on his Dodgers uniform for first timeRoki Sasaki dons his Dodgers jersey for the first time during his introductory news conference.",60/70,,,,,,,,,
1,2,Roman,Anthony,RF,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: Somewhere on the spectrum from Colton Cowser to Kyle Tucker  Type: Lefty-hitting outfielder who is above average at everything and could hit 30-plus bombs  Anthony was a well-known prep prospect who had a rough summer showcase season then emerged as a top-two-rounds prospect with a strong senior spring in 2022. The Red Sox landed him with the last pick of the second round (No. 79 overall), but paid him late-first-round money with a $2.5 million bonus. The main questions at that point were his hit tool and overall offensive impact given that he was a likely corner outfielder.  Anthony was then one of the handful of prospects we get every draft who immediately looks notably better than expected in pro ball. He's probably still a right fielder, but he has improved athletically to where he can also play a solid center field. His bat-to-ball ability, exit velos and pitch selection were all notably better than expected right after he signed and have stayed that way during his rise through the minors.  There's legitimate star potential here with the plus-plus raw power to potentially hit 30 homers, above average on-base skills, and the speed, arm and instincts for real baserunning and defensive value. That was the sales pitch for Kyle Tucker at this point in his career, though Anthony has less bat-to-ball ability, more raw power and more speed than Tucker did at this point.",,,,,,45/55,65/70,55/50,45/55,55/55
2,3,Walker,Jenkins,RF,Age: 19 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: J.D. Drew  Type: Smooth lefty hitter with incredible feel to hit along with above-average power and athleticism  I first closely scouted Jenkins in the summer between his sophomore and junior year of high school and immediately wrote ""J.D. Drew?"" in my notes because of his sweet swing, advanced hit tool and power/speed combo. Luckily, that report has held up 3½ years later. In the interim, Jenkins went fifth overall in one of the most loaded drafts of this century and now has jumped past Dylan Crews and Max Clark, who were drafted ahead of him.  Jenkins' selling point is his plus-plus bat-to-ball skills, which is helped by his efficient swing, but that also maximizes his raw power, giving him 25ish-homer upside as well. He's a fine runner with good instincts who is mostly playing center field now and will be an option there, but will likely slide to a corner spot in the big leagues. This wide base of skills and long track record makes Jenkins one of the safer and highest-probability regular among teenage prospects in recent memory; he would've been the top overall pick in many drafts and should be the top prospect in baseball in the next 12 months.",,,,,,50/65,50/60,50/45,45/55,50/50
3,4,Marcelo,Mayer,SS,Age: 22 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: Lankier, lefty-hitting Willy Adames if it all clicks  Type: Smooth-handed and sweet-swinging shortstop with 25- to 30-homer upside  Mayer had long been hyped as a potential top pick since early in his high school career, and he delivered on that, going fourth overall in the 2021 draft out of a Southern California high school. His pro career through 2023 was more good than great, relative to those weighty expectations. The 2024 season was a step forward, with scouts reporting that he had more life to his game physically, with better run times, better range on defense and looser movements.  He also ticked up across the board in more measurable ways: his chase rate was down 3%, his swing rate was down 3%, his max exit velo was up 3 mph, his high-end exit velos jumped a tick even adjusting for natural progression, while his line drive and hard-hit rate spiked. Mayer's homer totals aren't as strong as his raw power grades because he doesn't lift and pull the ball as much as is theoretically ideal for his power. There will be push-pull mechanical and approach decisions to make in his career in terms of lift, raw power, contact and patience -- and that has all been playing out in the minors, as well.  Mayer is a strong defender who grades as an average defensive shortstop even without flashy range, foot speed or arm strength. He projects as a potential All-Star who posts above-average on-base percentages and hits 20-25 homers while playing shortstop. His short-term big league fit looks to be second base in the second half of 2025 if everything goes to plan, eventually becoming double-play partners with fellow highly touted prospect Kristian Campbell.",,,,,,40/50,60/65,45/40,45/50,55/55
4,5,Carson,Williams,SS,,Right-Right,60,"Reminds me of: Early-career Trevor Story or later-career Dansby Swanson  Type: Power-over-hit shortstop with Gold Glove potential  I think there's a tier break after the first five to seven on this list, and Williams fits near the back of that group because the swing-and-miss inherent in his game could undermine his offensive profile. That said, he's in this group because he's at least above average at everything else on the field while being a plus-plus defender and thrower at shortstop. This provides a high floor as a low-end regular or premium utility guy.  Williams was a hit-over-power prospect whom I compared to early-career Dansby Swanson as a Southern California high schooler in the 2021 MLB draft class. Williams also sat in the mid-90s on the mound but wasn't interested in pitching as a professional. After signing, he immediately put on muscle and started leaning into that newfound power offensively while not losing his defensive prowess or speed.  Given the Rays' history, I would expect Williams to dial in his offensive approach in Triple-A for most or all of 2025 to set him up for a full big league debut in 2026 while Taylor Walls and/or Jose Caballero hold down the position until Williams is deemed ready.",,,,,,30/40,55/60,55/55,60/65,70/70
5,6,Dylan,Crews,CF,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: Starling Marte  Type: Plus power/speed combo in center field, but offensive outlook isn't totally clear yet  MLB Prospect Rankings: Terms To Know For the top tier of prospects, I present their tools as 45/60 meaning presently it's a 45 and projects to a 60 at maturity. 50 is major league average (which is a really good present tool for a minor leaguer), 55 is above average, 45 is below average, 60 is called plus (one standard deviation above average), 70 is plus-plus (two standard deviations), and 80 (three) is the top of the 20-80 scale, where just a handful of players in the big leagues reside.  These tools also scale to commonly used numbers. For game power, 50 equates to 15-18 homers per year, 55 is 19-22, 60 is about 25, 65 is about 30, etc. while run grades equate to specific times on a stopwatch, a 50 hit tool is about a .260 batting average, average fastball velocity is 92-93 depending on your role and handedness, and so on.  Other tools like throwing for position players or off-speed pitches are more based on visual evaluations, but there are some objective figures to round observations up or down.  This 20-80 scale also applies to the FV (future value) used to sum up a player's overall value. A 50 PV (present value) is a 2.0 to 2.5 WAR player. FV of a prospect who is big league ready maps to this pretty well: the top tier (65 FV this year) of prospects are projected to have multiple peak seasons of 4-to-5 WAR while the MVP winner is usually around 7-8 WAR.  The further down in the minors you go, it becomes a tiered system of ranking prospects based on their trade value relative to top-tier prospects.  To give further context, I've also included some categories along with tool grades. First, ""type,"" which categorizes a player for comparison among other players. I tend to round up on certain types (plus tools, plus makeup, middling stats) and round down on others (now velocity, teenaged right-handers).  The second is ""reminds me of."" This isn't a true comparison, because most players don't have a one-for-one perfect analog. There's also a lot of uncertainty with prospects, so it's by default looking at the rosier potential outcomes compared to some current MLB players. Its intent is to explain a player's ranking in a handful of simple words by saying they remind me of a current All-Star and have that as their high-risk upside, but you can also see why a lower-risk player might rank higher.  Crews was the best player in the 2020 prep class early in his high school career but had a tough final summer, then his senior spring was cut short by the pandemic so he had to decide between heading to LSU or taking late-first-to-compensation-round money to turn pro. He chose correctly, raking at LSU for three years, winning a national title, then going No. 2 in the 2023 draft behind teammate Paul Skenes.  As he has been under the microscope for years, scouts have been picking holes in Crews' game, and it took until he reached the upper minor leagues for some of those issues to appear. Like some other players in the top 10, Crews will probably have to choose if he wants to lean into contact and on-base skills or power, as he probably won't consistently be plus at both. I think he'll choose power.  Crews has some trouble with fastballs at the top of the strike zone, which are the easiest pitches to hit in the air for damage and also incredibly common to see in general, so while his raw power is plus, his game power plays a bit below that right now. There could be a mechanical adjustment to pull and lift and backspin that pitch more often (at the expense of other pitches), whereas now there are a few too many ground balls and opposite field flyouts for the current version of Crews to reach his 25-30 homer potential in the big leagues. If he gets to his power upside, I'd expect his hit tool and on-base skills to fall to average or a bit below.  That said, he has a plus raw power/speed combo, plays a good center field and has a solid feel for contact and the strike zone. He could be an adjustment or two from being a perennial All-Star. Or he could come in around where my tool grades have him projected and be a good everyday player posting 2.5- to 3.5-win seasons most years.",,,,,,45/50,55/60,60/60,45/50,55/55
6,7,Jackson,Jobe,RHP,Age: 22 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: 2019 Walker Buehler, but with a better changeup  Type: Medium-framed velo/spin merchant who can turn good hitters into a pretzel  Jobe (along with Cincinnati's Hunter Greene) is one of two prep right-handers to be taken with a top-five pick in the past eight MLB drafts. While not the prototypical size of an ace, Jobe's case for going that high was easy to see. He is a plus athlete who was also a pro prospect as a third baseman (and whose dad Brandt is a pro golfer), with a starter delivery, easy mid-90s velocity, feel for an above-average changeup and breaking pitches regularly over 3000 rpm. His early pro career was rocky, but he's back on track to potentially be an ace in the coming years after making his MLB debut late last season followed by two playoff appearances.  Jobe's four-seam fastball results (whiff rates, ball in play outcomes, etc.) play a bit below the plus-plus shape and velocity of the pitch, but his changeup outperforms its pure shape in a way that I think is related, due to the 13 mph velocity differential. After gearing up for the 95-98 mph heater at the top of the zone (he occasionally throws a two-seamer with more run), the 82-85 mph changeup acts as a late-count putaway option once hitters have geared up for the fastball. Jobe's 88-91 mph cutter is probably his best long-term breaking ball given big league trends, but he has two varieties of a low-80s sweeper that are more likely to light up Pitching Ninja.  Jobe has an incredible combination of athleticism, arm speed, capacity for spin and ability to create lateral movement from a conventional high three-quarters arm slot. Using his average movement for each pitch, if he aimed the slower version of his sweeper (81 mph, 15.4 inches of lateral movement) and changeup (84 mph, -17.1 inches) at the same location, they'd end up 32.5 inches apart from each other. For reference, home plate is 17 inches wide.  There's still a little work to be done in dialing in the finer points of getting big league hitters out and ramping up to 180-plus-inning workloads, but Jobe could be one of the better pitchers in baseball on a per-inning basis whenever that last step of development happens.",55/60,60/65,55/60,60/65,,,,,,
7,8,Coby,Mayo,3B,Age: 23 | Bats: Right | Throws: Right,Right-Right,60,"Reminds me of: Somewhere on the Troy Glaus to Pete Alonso XL-framed infielder/power hitter spectrum  Type: 3B/1B tweener with 30-homer upside and solid feel to hit  GM Mike Elias found Mayo in the 2020 pandemic-affected draft -- his second draft running the Orioles. At the time, Mayo was a 6-foot-5 south Florida prep third baseman with big power but hit tool concerns due to his long levers. The O's believed Mayo was a swing tinkerer in high school and that obscured his underlying hit-ability, so they gave him early-second-round money ($1.75 million) in the fourth round after saving money on first-round pick Heston Kjerstad.  The Orioles were right and Mayo made his MLB debut at the end of 2024, setting him up to play first base or designated hitter during the 2025 season. He also has the ability to fill in at third base, but Mayo's size is a factor in limiting his defensive upside there and he's now seen as a likely long-term first baseman given both those limitations and the Orioles' deep infield corps. He hasn't played the outfield but has the raw ability to play passably out there.  Mayo has a good feel for pulling and lifting the ball along with above-average ability to pick out pitches to drive and average bat-to-ball ability. Unlike many of the potential power hitters on this list, Mayo (with his 22 Triple-A homers last season) has demonstrated the ability to get to all of his raw power in games against top pitching.",,,,,,40/50,60/65,45/40,40/45,65/65
8,9,Max,Clark,CF,Age: 20 | Bats: Left | Throws: Right,Left-Right,60,"Reminds me of: Shades of Corbin Carroll or Jarren Duran, if the power comes  Type: An explosion of personality, foot speed, bat speed and effort  Clark has been compared to Walker Jenkins for almost his entire prep career, and that continues into the minor leagues. They were the top two players in the 2023 draft prep class for years in advance and were drafted that way, but the next three players coming up on this list are all gaining ground.  As the information above alludes to, Clark is a stout, 6-foot athlete with plus explosive qualities in his hands and feet, but he also grades out well in the soft skills of bat control, pitch selection, baserunning and defending. If Clark can keep leaning into his 20-25 homer upside, he could be a true star, along the lines of Carroll or Duran, but there are outcomes in which Clark hits 12-15 homers annually and still makes some All-Star teams. The give-and-take that comes with those offensive-approach choices is the main question with Clark. Like Jenkins, Clark's wide base of skills and long track record give him as high of a floor as you'll see from a player below Double-A.",,,,,,30/55,45/55,70/70,45/55,55/55
9,10,Kevin,McGonigle,SS,,Left-Right,60,"Reminds me of: Maybe an infield version of Steven Kwan?  Type: Left-handed hitting prodigy with average other tools  McGonigle was one of my top picks to click in the five drafts I've covered for ESPN, all of them coming from a specific type who the industry continues to underrate: standout hitters with shorter limbs and strong performances against good pitching, medium raw power, good-not-great speed and defensive ability, but strong overall instincts. This profile basically doesn't get picked in the top half of the first round -- Max Clark is the toolsier version of this type -- but usually goes in the next 15 to 20 picks. McGonigle went 37th overall in the 2023 draft, but he got a bonus commensurate with the 28th overall pick that was created by the savings from the Tigers' first pick that year: Clark.  McGonigle is a solid-average runner with enough arm to play shortstop and good feel for the position, but there's a chance he still ends up at second base in the long term since many teams will have a better defensive shortstop option in the big leagues. He showed a feel for pulling and lifting the ball in 2024 with sneaky strong exit velos, but I wouldn't expect to see his homer total jump until 2026 because he broke the hamate bone in his right hand at the end of last year and that often dampens power figures for a season.  That said, I think he has 20-homer upside, some of the best on-base skills in the minor leagues (he incredibly has almost twice as many walks as strikeouts in his pro career) with positive baserunning and defensive value. There are some teams that have him ranked ahead of Clark, which was unthinkable even to me on draft day. I'll circle back to how I finished my predraft scouting report where I ranked McGonigle 21st, knowing I had him higher than everyone else due to a disagreement on his size/upside: ""Don't complicate this, MLB teams.""",,,,,,35/60,50/55,50/50,40/50,55/55
